,model_uid,layer_index,layer_relative_depth,roi_name,reliability,set,score,normalized_score
0,dino_say_vitb14,130.59846967875254,0.61895009326423,EBA,0.6711319989916741,train,0.2859679,0.426097827070609
1,dino_say_vitb14,93.33445078456832,0.4423433686472432,EVC,0.5927793699163502,train,0.44882637,0.7571558583200687
2,dino_say_vitb14,138.00484794810453,0.6540514120763248,FFA,0.663206284502063,train,0.39101738,0.5895863572374518
3,dino_say_vitb14,130.11211432556703,0.6166450915903651,LOC,0.6020816603172239,train,0.29384354,0.48804598601164195
4,dino_say_vitb14,134.5667289761231,0.6377570093655125,MT,0.6206022108693487,train,0.2752089,0.4434545762454877
5,dino_say_vitb14,130.07799947575168,0.6164834098376857,PPA,0.5826439493920513,train,0.46073884,0.7907725433340769
6,dino_say_vitb14,127.99420362302334,0.6066076001091153,aSTS,0.5126581895935293,train,0.24319765,0.4743855743534591
7,dino_say_vitb14,126.62392624549672,0.6001133945284205,pSTS,0.5501163402209054,train,0.24241087,0.44065382298761197
8,dino_say_vitb14,130.59846967875254,0.61895009326423,EBA,0.6711319989916741,test,0.15615006,0.2326666857585046
9,dino_say_vitb14,93.33445078456832,0.4423433686472432,EVC,0.5927793699163502,test,0.32585877,0.5497134150383444
10,dino_say_vitb14,138.00484794810453,0.6540514120763248,FFA,0.663206284502063,test,0.3972653,0.5990071182027362
11,dino_say_vitb14,130.11211432556703,0.6166450915903651,LOC,0.6020816603172239,test,0.11743219,0.19504362897566366
12,dino_say_vitb14,134.5667289761231,0.6377570093655125,MT,0.6206022108693487,test,0.10883086,0.17536331621315526
13,dino_say_vitb14,130.07799947575168,0.6164834098376857,PPA,0.5826439493920513,test,0.4116201,0.706469381005086
14,dino_say_vitb14,127.99420362302334,0.6066076001091153,aSTS,0.5126581895935293,test,0.11662501,0.2274907791090258
15,dino_say_vitb14,126.62392624549672,0.6001133945284205,pSTS,0.5501163402209054,test,0.10629592,0.19322443842654585
